date,number,speaker1,party_speaker1,role_speaker1,speaker2,party_speaker2,role_speaker2
09.02.2015,1,Зоран Заев,СДСМ,политичар,Новинар од РСЕ,Независен,новинар
09.02.2015,2,Зоран Заев,СДСМ,политичар,Радмила Шекеринска,СДСМ,политичар
09.02.2015,3,Зоран Заев,СДСМ,политичар,Ќерка му на Заев,Независен,семејство
09.02.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
09.02.2015,5,Љубчо Георгиевски,ВМРО-ДПМНЕ,политичар,Соговорник 01,,
09.02.2015,6,Љубчо Георгиевски,ВМРО-ДПМНЕ,политичар,Соговорник 02,,
09.02.2015,7,Али Ахмети,,политичар,Соговорник 03,,
09.02.2015,8,Мендух Тачи,,политичар,Соговорник 04,,
09.02.2015,9,Бујар Османи,,политичар,Соговорник 05,,
15.02.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Михајло Маневски,,
15.02.2015,2,Сашо Мијалков,ВМРО-ДПМНЕ,политичар,Муса Џафери,,
15.02.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
15.02.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Марјан Ристески,,
15.02.2015,5,Драган Павловиќ Латас,Независен,новинар,Филимена Маневска,ВМРО-ДПМНЕ,политичар
20.02.2015,1,Драган Павловиќ Латас,Независен,новинар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
20.02.2015,2,Драган Павловиќ Латас,Независен,новинар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
20.02.2015,3,Драган Павловиќ Латас,Независен,новинар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
20.02.2015,4,Емил Стојменов,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
20.02.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
20.02.2015,6,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
20.02.2015,7,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Иво Котевски,,
25.02.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
25.02.2015,2,Драган Павловиќ Латас,Независен,новинар,Елизабета Канческа-Милевска,,
25.02.2015,3,Иво Котевски,,,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар
25.02.2015,4,Сашо Мијалков,ВМРО-ДПМНЕ,политичар,Драган Павловиќ Латас,Независен,новинар
25.02.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
25.02.2015,6,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,1,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,2,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,3,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,4,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,5,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,6,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,7,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,8,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
27.02.2015,9,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
02.03.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,2,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,6,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,7,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,8,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,9,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,10,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,11,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
02.03.2015,12,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
06.03.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Кирил Божиновски,,
06.03.2015,2,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 06,,
06.03.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 07,,
06.03.2015,4,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
06.03.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
06.03.2015,6,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник (Стевче),,
06.03.2015,7,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Горан Трајковски,,
06.03.2015,8,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 08,,
06.03.2015,9,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Спиро Ристовски,,
06.03.2015,10,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 09,,
06.03.2015,11,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 10,,
06.03.2015,12,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 11,,
06.03.2015,13,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Љупчо Димовски,,
06.03.2015,14,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Душко Миновски,,
06.03.2015,15,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 12,,
06.03.2015,16,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 13,,
06.03.2015,17,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 14,,
06.03.2015,18,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 15,,
06.03.2015,19,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 16,,
06.03.2015,20,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 17,,
06.03.2015,21,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Ирена Мишева,,
06.03.2015,22,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 18,,
06.03.2015,23,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Ирена Мишева,,
06.03.2015,24,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
06.03.2015,25,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Влатко Мијалков,ВМРО-ДПМНЕ,политичар
06.03.2015,26,Драган Павловиќ Латас,Независен,новинар,Зоран Коњановски,,
06.03.2015,27,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 19,,
06.03.2015,28,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
06.03.2015,29,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Миле Јанакиески,ВМРО-ДПМНЕ,политичар
06.03.2015,30,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Ирена Мишева,,
06.03.2015,31,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Кирил Божиновски,,
06.03.2015,32,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Спиро Ристовски,,
06.03.2015,33,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Соговорник 20,,
06.03.2015,34,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Соговорник 21,,
06.03.2015,35,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар
06.03.2015,36,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Кирил Божиновски,,
06.03.2015,37,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Никола Тодоров,,
06.03.2015,38,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Васил Пишев,,
06.03.2015,39,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Славе Гошев,,
06.03.2015,40,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Миле Јанакиески,ВМРО-ДПМНЕ,политичар
06.03.2015,41,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
10.03.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Спиро Ристовски,,
